ID,Ф.И.О.,Должность,Телефон
1,Любовь Никифоровна Бирюкова,Слесарь-механик,8 (025) 250-02-60
2,Лидия Юльевна Казакова,Рихтовщик,8 621 956 32 85
3,Алексеева Ксения Антоновна,Химик-технолог,8 108 227 9614
4,Савина Зинаида Тимофеевна,Бортпроводник/стюард,8 300 760 27 58
5,Кононова Ксения Руслановна,Бухгалтер,8 (612) 563-87-41
6,Любовь Оскаровна Силина,Донкерман,8 (424) 800-3288
7,Маргарита Оскаровна Королева,Реаниматолог,8 753 555 18 78
8,Синклитикия Андреевна Жукова,Полицейский,+7 (384) 074-5348
9,Самсон Бориславович Фролов,Кинорежиссер,+73632303841
10,Трофим Борисович Ильин,Юрист,+7 205 549 3318
